Tipo_dia|Modo|Paradero|Comuna|Media_hora|Subidas_Promedio
LABORAL|Bus|E-10-71-PO-75|PUDAHUEL|0.6666666666666666|37.0
LABORAL|Bus|E-10-71-PO-75|PUDAHUEL|0.6875|38.0
LABORAL|Bus|E-10-71-PO-75|PUDAHUEL|0.7083333333333334|39.0
LABORAL|Bus|E-10-71-PO-75|PUDAHUEL|0.7291666666666666|57.0
LABORAL|Bus|E-10-71-PO-75|PUDAHUEL|0.75|66.0
LABORAL|Bus|E-10-71-PO-75|PUDAHUEL|0.7708333333333334|72.0
LABORAL|Bus|E-10-71-PO-75|PUDAHUEL|0.7916666666666666|50.0
LABORAL|Bus|E-10-71-PO-75|PUDAHUEL|0.8125|33.0
LABORAL|Bus|E-10-71-PO-75|PUDAHUEL|0.8333333333333334|30.0
LABORAL|Bus|E-10-71-PO-75|PUDAHUEL|0.8541666666666666|25.0
LABORAL|Bus|E-10-71-PO-75|PUDAHUEL|0.875|20.0
LABORAL|Bus|E-10-71-PO-75|PUDAHUEL|0.8958333333333334|13.0
LABORAL|Bus|E-10-71-PO-75|PUDAHUEL|0.9166666666666666|11.0
LABORAL|Bus|E-10-71-PO-75|PUDAHUEL|0.9375|14.0
LABORAL|Bus|E-10-71-PO-75|PUDAHUEL|0.9583333333333334|4.0
LABORAL|Bus|E-10-71-PO-75|PUDAHUEL|0.9791666666666666|2.0
LABORAL|Bus|E-10-75-NS-21|PUDAHUEL|0.0|0.0
LABORAL|Bus|E-10-75-NS-21|PUDAHUEL|0.020833333333333332|0.0
LABORAL|Bus|E-10-75-NS-21|PUDAHUEL|0.25|7.0
LABORAL|Bus|E-10-75-NS-21|PUDAHUEL|0.2708333333333333|21.0
LABORAL|Bus|E-10-75-NS-21|PUDAHUEL|0.2916666666666667|59.0
LABORAL|Bus|E-10-75-NS-21|PUDAHUEL|0.3125|45.0
LABORAL|Bus|E-10-75-NS-21|PUDAHUEL|0.3333333333333333|40.0
LABORAL|Bus|E-10-75-NS-21|PUDAHUEL|0.3541666666666667|31.0
LABORAL|Bus|E-10-75-NS-21|PUDAHUEL|0.375|43.0
LABORAL|Bus|E-10-75-NS-21|PUDAHUEL|0.3958333333333333|41.0
LABORAL|Bus|E-10-75-NS-21|PUDAHUEL|0.4166666666666667|39.0
LABORAL|Bus|E-10-75-NS-21|PUDAHUEL|0.4375|40.0
LABORAL|Bus|E-10-75-NS-21|PUDAHUEL|0.4583333333333333|33.0
LABORAL|Bus|E-10-75-NS-21|PUDAHUEL|0.4791666666666667|43.0
LABORAL|Bus|E-10-75-NS-21|PUDAHUEL|0.5|43.0
LABORAL|Bus|E-10-75-NS-21|PUDAHUEL|0.5208333333333334|46.0
LABORAL|Bus|E-10-75-NS-21|PUDAHUEL|0.5416666666666666|39.0
LABORAL|Bus|E-10-75-NS-21|PUDAHUEL|0.5625|40.0
LABORAL|Bus|E-10-75-NS-21|PUDAHUEL|0.5833333333333334|14.0
LABORAL|Bus|E-10-75-NS-21|PUDAHUEL|0.6041666666666666|17.0
